verb	verb_present	verb_past
dehull	dehulls	dehulled
dehumanise	dehumanises	dehumanised
dehumanize	dehumanizes	dehumanized
dehumidify	dehumidifies	dehumidified
dehusk	dehusks	dehusked
dehydrate	dehydrates	dehydrated
dehydrogenate	dehydrogenates	dehydrogenated
dehydrogenise	dehydrogenises	dehydrogenised
dehydrogenize	dehydrogenizes	dehydrogenized
dehypnotise	dehypnotises	dehypnotised
dehypnotize	dehypnotizes	dehypnotized
deice	deices	deiced
deidentify	deidentifies	deidentified
deify	deifies	deified
deign	deigns	deigned
deindex	deindexes	deindexed
deindividualize	deindividualizes	deindividualized
deindustrialise	deindustrialises	deindustrialised
deindustrialize	deindustrializes	deindustrialized
deinitialize	deinitializes	deinitialized
deink	deinks	deinked
deinstall	deinstalls	deinstalled
deinstitutionalise	deinstitutionalises	deinstitutionalised
deinstitutionalize	deinstitutionalizes	deinstitutionalized
deintegrate	deintegrates	deintegrated
deinterlace	deinterlaces	deinterlaced
deinterleave	deinterleaves	deinterleaved
deionise	deionises	deionised
deionize	deionizes	deionized
dejargonize	dejargonizes	dejargonized
deject	dejects	dejected
dejudicialize	dejudicializes	dejudicialized
dejunk	dejunks	dejunked
deke	dekes	deked
delabialize	delabializes	delabialized
delaminate	delaminates	delaminated
delapse	delapses	delapsed
delate	delates	delated
delay	delays	delayed
delayer	delayers	delayered
dele	deles	deled
delead	deleads	deleaded
delectate	delectates	delectated
delegalize	delegalizes	delegalized
delegate	delegates	delegated
delegitimate	delegitimates	delegitimated
delegitimatise	delegitimatises	delegitimatised
delegitimatize	delegitimatizes	delegitimatized
delegitimise	delegitimises	delegitimised
delegitimize	delegitimizes	delegitimized
delete	deletes	deleted
delevel	delevels	deleveled
deleverage	deleverages	deleveraged
delibate	delibates	delibated
deliber	delibers	delibered
deliberate	deliberates	deliberated
delibrate	delibrates	delibrated
delicense	delicenses	delicensed
deliciate	deliciates	deliciated
deligate	deligates	deligated
delight	delights	delighted
delignify	delignifies	delignified
delimb	delimbs	delimbed
deliminate	deliminates	deliminated
delimit	delimits	delimited
delimitate	delimitates	delimitated
deline	delines	delined
delineate	delineates	delineated
delink	delinks	delinked
delint	delints	delinted
delipidate	delipidates	delipidated
deliquate	deliquates	deliquated
deliquesce	deliquesces	deliquesced
deliquiate	deliquiates	deliquiated
delirate	delirates	delirated
delist	delists	delisted
deliver	delivers	delivered
delivre	delivres	delivred
delocalize	delocalizes	delocalized
deloft	delofts	delofted
delope	delopes	deloped
delouse	delouses	deloused
delphie	delphies	delphied
delude	deludes	deluded
deluge	deluges	deluged
delurk	delurks	delurked
delustre	delustres	delustred
delve	delves	delved
demagnetise	demagnetises	demagnetised
demagnetize	demagnetizes	demagnetized
demagnify	demagnifies	demagnified
demagogue	demagogues	demagogued
demand	demands	demanded
demanufacture	demanufactures	demanufactured
demarcate	demarcates	demarcated
demarginalize	demarginalizes	demarginalized
demarginate	demarginates	demarginated
demark	demarks	demarked
demarket	demarkets	demarketed
demasculinize	demasculinizes	demasculinized
demassify	demassifies	demassified
demast	demasts	demasted
demate	demates	demated
dematerialise	dematerialises	dematerialised
dematerialize	dematerializes	dematerialized
demaund	demaunds	demaunded
demean	demeans	demeaned
dement	dements	demented
dementalize	dementalizes	dementalized
dementate	dementates	dementated
demephitize	demephitizes	demephitized
demerge	demerges	demerged
demerit	demerits	demerited
demerse	demerses	demersed
demesmerize	demesmerizes	demesmerized
demetallize	demetallizes	demetallized
demethylate	demethylates	demethylated
demigrate	demigrates	demigrated
demilitarise	demilitarises	demilitarised
demilitarize	demilitarizes	demilitarized
demine	demines	demined
demineralise	demineralises	demineralised
demineralize	demineralizes	demineralized
deminiaturize	deminiaturizes	deminiaturized
demise	demises	demised
demist	demists	demisted
demit	demits	demitted
demix	demixes	demixed
demo	demos	demoed
demob	demobs	demobbed
demobilise	demobilises	demobilised
demobilize	demobilizes	demobilized
democratise	democratises	democratised
democratize	democratizes	democratized
demodulate	demodulates	demodulated
demolish	demolishes	demolished
demonetise	demonetises	demonetised
demonetize	demonetizes	demonetized
demonify	demonifies	demonified
demonise	demonises	demonised
demonize	demonizes	demonized
demonopolize	demonopolizes	demonopolized
demonstrate	demonstrates	demonstrated
demoralise	demoralises	demoralised
demoralize	demoralizes	demoralized
demorify	demorifies	demorified
demosaic	demosaics	demosaicked
demoss	demosses	demossed
demote	demotes	demoted
demotivate	demotivates	demotivated
demount	demounts	demounted
dempne	dempnes	dempned
demulce	demulces	demulced
demulsify	demulsifies	demulsified
demultiplex	demultiplexes	demultiplexed
demur	demurs	demurred
demure	demures	demured
demuslimize	demuslimizes	demuslimized
demutualise	demutualises	demutualised
demutualize	demutualizes	demutualized
demyelinate	demyelinates	demyelinated
demystify	demystifies	demystified
demythologise	demythologises	demythologised
demythologize	demythologizes	demythologized
den	dens	denned
denarcotize	denarcotizes	denarcotized
denarrativize	denarrativizes	denarrativized
denasalize	denasalizes	denasalized
denationalise	denationalises	denationalised
denationalize	denationalizes	denationalized
denaturalise	denaturalises	denaturalised
denaturalize	denaturalizes	denaturalized
denature	denatures	denatured
denaturize	denaturizes	denaturized
denay	denays	denayed
denegate	denegates	denegated
denerdify	denerdifies	denerdified
denervate	denervates	denervated
deneutralize	deneutralizes	deneutralized
denib	denibs	denibbed
deniggerize	deniggerizes	deniggerized
denigrate	denigrates	denigrated
denitrify	denitrifies	denitrified
denitrogenate	denitrogenates	denitrogenated
denize	denizes	denized
denizen	denizens	denizened
denominate	denominates	denominated
denormalise	denormalises	denormalised
denormalize	denormalizes	denormalized
denotate	denotates	denotated
denote	denotes	denoted
denotify	denotifies	denotified
denounce	denounces	denounced
densify	densifies	densified
dent	dents	dented
dentize	dentizes	dentized
denuclearise	denuclearises	denuclearised
denuclearize	denuclearizes	denuclearized
denucleate	denucleates	denucleated
denudate	denudates	denudated
denude	denudes	denuded
denunciate	denunciates	denunciated
deny	denies	denied
deobfuscate	deobfuscates	deobfuscated
deobstruct	deobstructs	deobstructed
deodorise	deodorises	deodorised
deodorize	deodorizes	deodorized
deodourise	deodourises	deodourised
deodourize	deodourizes	deodourized
deoil	deoils	deoiled
deop	deops	deopped
deoppilate	deoppilates	deoppilated
deoptimize	deoptimizes	deoptimized
deorbit	deorbits	deorbited
deorphanize	deorphanizes	deorphanized
deoxidate	deoxidates	deoxidated
deoxidise	deoxidises	deoxidised
deoxidize	deoxidizes	deoxidized
deoxygenate	deoxygenates	deoxygenated
deoxygenize	deoxygenizes	deoxygenized
depack	depacks	depacked
depacketize	depacketizes	depacketized
depaint	depaints	depainted
depalletize	depalletizes	depalletized
depanelize	depanelizes	depanelized
depants	depantses	depantsed
depart	departs	departed
departition	departitions	departitioned
departmentalise	departmentalises	departmentalised
departmentalize	departmentalizes	departmentalized
depasture	depastures	depastured
depathologize	depathologizes	depathologized
depatriarchalize	depatriarchalizes	depatriarchalized
depatriate	depatriates	depatriated
depattern	depatterns	depatterned
depauperate	depauperates	depauperated
depauperize	depauperizes	depauperized
depave	depaves	depaved
depeach	depeaches	depeached
depend	depends	depended
depeople	depeoples	depeopled
deperch	deperches	deperched
depersonalise	depersonalises	depersonalised
depersonalize	depersonalizes	depersonalized
depetal	depetals	depetalled
dephase	dephases	dephased
dephlegm	dephlegms	dephlegmed
dephlegmate	dephlegmates	dephlegmated
dephlogisticate	dephlogisticates	dephlogisticated
dephosphorylate	dephosphorylates	dephosphorylated
dephysicalize	dephysicalizes	dephysicalized
depict	depicts	depicted
depicture	depictures	depictured
depiece	depieces	depieced
depigment	depigments	depigmented
depilate	depilates	depilated
deplane	deplanes	deplaned
deplant	deplants	deplanted
deplete	depletes	depleted
deplore	deplores	deplored
deploy	deploys	deployed
deplume	deplumes	deplumed
depoetize	depoetizes	depoetized
depolarise	depolarises	depolarised
depolarize	depolarizes	depolarized
depolish	depolishes	depolished
depoliticalize	depoliticalizes	depoliticalized
depoliticise	depoliticises	depoliticised
depoliticize	depoliticizes	depoliticized
depollute	depollutes	depolluted
depolymerize	depolymerizes	depolymerized
depone	depones	deponed
depopulate	depopulates	depopulated
deport	deports	deported
depose	deposes	deposed
deposit	deposits	deposited
deposite	deposites	deposited
depower	depowers	depowered
deprave	depraves	depraved
deprecate	deprecates	deprecated
depreciate	depreciates	depreciated
depredate	depredates	depredated
deprehend	deprehends	deprehended
depress	depresses	depressed
depressure	depressures	depressured
depressurise	depressurises	depressurised
depressurize	depressurizes	depressurized
deprioritise	deprioritises	deprioritised
deprioritize	deprioritizes	deprioritized
deprivatize	deprivatizes	deprivatized
deprive	deprives	deprived
deprivilege	deprivileges	deprivileged
deprofessionalize	deprofessionalizes	deprofessionalized
deprogram	deprograms	deprogrammed
deprogramme	deprogrammes	deprogrammed
deproject	deprojects	deprojected
deprotect	deprotects	deprotected
deproteinize	deproteinizes	deproteinized
deprotonate	deprotonates	deprotonated
deprovincialize	deprovincializes	deprovincialized
depublish	depublishes	depublished
depucelate	depucelates	depucelated
depuff	depuffs	depuffed
depulse	depulses	depulsed
depurate	depurates	depurated
depure	depures	depured
depute	deputes	deputed
deputise	deputises	deputised
deputize	deputizes	deputized
dequantitate	dequantitates	dequantitated
dequantize	dequantizes	dequantized
dequeue	dequeues	dequeued
deracemize	deracemizes	deracemized
deracinate	deracinates	deracinated
deradicalise	deradicalises	deradicalised
deradicalize	deradicalizes	deradicalized
deraign	deraigns	deraigned
derail	derails	derailed
derain	derains	derained
deramp	deramps	deramped
derandomise	derandomises	derandomised
derandomize	derandomizes	derandomized
derange	deranges	deranged
derat	derats	deratted
derate	derates	derated
dere	deres	dered
derecognise	derecognises	derecognised
derecognize	derecognizes	derecognized
deredden	dereddens	dereddened
dereference	dereferences	dereferenced
deregister	deregisters	deregistered
deregulate	deregulates	deregulated
dereligionise	dereligionises	dereligionised
dereligionize	dereligionizes	dereligionized
derender	derenders	derendered
dereplicate	dereplicates	dereplicated
derepress	derepresses	derepressed
derequisition	derequisitions	derequisitioned
derestrict	derestricts	derestricted
derez	derezes	derezed
derezz	derezzes	derezzed
deride	derides	derided
derisk	derisks	derisked
derivate	derivates	derivated
derivatize	derivatizes	derivatized
derive	derives	derived
dern	derns	derned
derne	dernes	derned
derogate	derogates	derogated
derograte	derogrates	derograted
deromanticise	deromanticises	deromanticised
deromanticize	deromanticizes	deromanticized
derp	derps	derped
derve	derves	derved
desacralize	desacralizes	desacralized
desalinate	desalinates	desalinated
desalinize	desalinizes	desalinized
desalivate	desalivates	desalivated
desalt	desalts	desalted
desanctify	desanctifies	desanctified
desand	desands	desanded
desat	desats	desatted
desaturate	desaturates	desaturated
descale	descales	descaled
descant	descants	descanted
descend	descends	descended
deschool	deschools	deschooled
descope	descopes	descoped
descramble	descrambles	descrambled
descreen	descreens	descreened
describe	describes	described
descrive	descrives	descrived
descry	descries	descried
deseasonalize	deseasonalizes	deseasonalized
desecate	desecates	desecated
desecrate	desecrates	desecrated
desecularize	desecularizes	desecularized
deseed	deseeds	deseeded
desegregate	desegregates	desegregated
deselect	deselects	deselected
desensationalize	desensationalizes	desensationalized
desensitise	desensitises	desensitised
desensitize	desensitizes	desensitized
deserialise	deserialises	deserialised
deserialize	deserializes	deserialized
desert	deserts	deserted
desertify	desertifies	desertified
deserve	deserves	deserved
desex	desexes	desexed
desexualise	desexualises	desexualised
desexualize	desexualizes	desexualized
deshuffle	deshuffles	deshuffled
desiccate	desiccates	desiccated
desiderate	desiderates	desiderated
desier	desiers	desiered
desighn	desighns	desighned
design	designs	designed
designate	designates	designated
desilk	desilks	desilked
desilver	desilvers	desilvered
desilverize	desilverizes	desilverized
desilylate	desilylates	desilylated
desingularize	desingularizes	desingularized
desire	desires	desired
desist	desists	desisted
desk	desks	desked
deskew	deskews	deskewed
deskill	deskills	deskilled
desocialise	desocialises	desocialised
desocialize	desocializes	desocialized
desolate	desolates	desolated
desolder	desolders	desoldered
desolvate	desolvates	desolvated
desophisticate	desophisticates	desophisticated
desorb	desorbs	desorbed
desoul	desouls	desouled
despair	despairs	despaired
desparple	desparples	desparpled
despatch	despatches	despatched
despawn	despawns	despawned
despecificate	despecificates	despecificated
despeckle	despeckles	despeckled
despeed	despeeds	desped
despend	despends	despended
despise	despises	despised
despite	despites	despited
despoil	despoils	despoiled
despond	desponds	desponded
desponsate	desponsates	desponsated
desport	desports	desported
despotize	despotizes	despotized
despread	despreads	despread
despumate	despumates	despumated
despume	despumes	despumed
desquamate	desquamates	desquamated
destabilise	destabilises	destabilised
destabilize	destabilizes	destabilized
destaff	destaffs	destaffed
destage	destages	destaged
destain	destains	destained
destalinize	destalinizes	destalinized
destandardise	destandardises	destandardised
destandardize	destandardizes	destandardized
destash	destashes	destashed
destem	destems	destemmed
destigmatise	destigmatises	destigmatised
destigmatize	destigmatizes	destigmatized
destimulate	destimulates	destimulated
destinate	destinates	destinated
destine	destines	destined
destinkify	destinkifies	destinkified
destock	destocks	destocked
destool	destools	destooled
destress	destresses	destressed
destroi	destrois	destroied
destroy	destroys	destroyed
destruct	destructs	destructed
destructure	destructures	destructured
desublimate	desublimates	desublimated
desugar	desugars	desugared
desulfur	desulfurs	desulfured
desulfurate	desulfurates	desulfurated
desulfurise	desulfurises	desulfurised
desulfurize	desulfurizes	desulfurized
desulphurate	desulphurates	desulphurated
desulphurize	desulphurizes	desulphurized
desume	desumes	desumed
desumoylate	desumoylates	desumoylated
desuperheat	desuperheats	desuperheated
desymmetrize	desymmetrizes	desymmetrized
desync	desyncs	desynced
desynch	desynchs	desynched
desynchronize	desynchronizes	desynchronized
desynonymize	desynonymizes	desynonymized
desysop	desysops	desysopped
detach	detaches	detached
detag	detags	detagged
detail	details	detailed
detain	detains	detained
detangle	detangles	detangled
detartrate	detartrates	detartrated
detassel	detassels	detasseled
detect	detects	detected
detent	detents	detented
deter	deters	deterred
deterge	deterges	deterged
deteriorate	deteriorates	deteriorated
determin	determins	determined
determinate	determinates	determinated
determine	determines	determined
determinize	determinizes	determinized
deterritorialize	deterritorializes	deterritorialized
detest	detests	detested
detestate	detestates	detestated
detext	detexts	detexted
dethatch	dethatches	dethatched
dethaw	dethaws	dethawed
dethrone	dethrones	dethroned
dethronize	dethronizes	dethronized
detin	detins	detinned
detokenize	detokenizes	detokenized
detonate	detonates	detonated
detonize	detonizes	detonized
detort	detorts	detorted
detour	detours	detoured
detox	detoxes	detoxed
detoxicate	detoxicates	detoxicated
detoxify	detoxifies	detoxified
detract	detracts	detracted
detraditionalise	detraditionalises	detraditionalised
detraditionalize	detraditionalizes	detraditionalized
detrain	detrains	detrained
detreat	detreats	detreated
detrect	detrects	detrected
detrend	detrends	detrended
detribalize	detribalizes	detribalized
detrude	detrudes	detruded
detruncate	detruncates	detruncated
detumesce	detumesces	detumesced
detune	detunes	detuned
deturb	deturbs	deturbed
deturbate	deturbates	deturbated
deturn	deturns	deturned
deturpate	deturpates	deturpated
detusk	detusks	detusked
deubiquitinate	deubiquitinates	deubiquitinated
deubiquitylate	deubiquitylates	deubiquitylated
deunionise	deunionises	deunionised
deurbanize	deurbanizes	deurbanized
deuterate	deuterates	deuterated
devalorize	devalorizes	devalorized
devaluate	devaluates	devaluated
devalue	devalues	devalued
devan	devans	devanned
devast	devasts	devasted
devastate	devastates	devastated
devein	deveins	deveined
devel	devels	develled
develop	develops	developed
develope	developes	developed
devenustate	devenustates	devenustated
deverbalise	deverbalises	deverbalised
deverbalize	deverbalizes	deverbalized
devest	devests	devested
deviate	deviates	deviated
devictimize	devictimizes	devictimized
devil	devils	deviled
devilize	devilizes	devilized
devirginate	devirginates	devirginated
devirginise	devirginises	devirginised
devirginize	devirginizes	devirginized
devise	devises	devised
devitalize	devitalizes	devitalized
devitrify	devitrifies	devitrified
devive	devives	devived
devocalize	devocalizes	devocalized
devoice	devoices	devoiced
devoid	devoids	devoided
devolatilize	devolatilizes	devolatilized
devolute	devolutes	devoluted
devolve	devolves	devolved
devote	devotes	devoted
devour	devours	devoured
devove	devoves	devoved
devow	devows	devowed
devulcanize	devulcanizes	devulcanized
devulgarize	devulgarizes	devulgarized
devvel	devvels	devvelled
dew	dews	dewed
dewater	dewaters	dewatered
dewax	dewaxes	dewaxed
deweight	deweights	deweighted
dewet	dewets	dewetted
dewikify	dewikifies	dewikified
dewire	dewires	dewired
deworm	deworms	dewormed
dewret	dewrets	dewretted
dexify	dexifies	dexified
dextrinize	dextrinizes	dextrinized
dezincify	dezincifies	dezincified
dezionize	dezionizes	dezionized
deëmphasize	deëmphasizes	deëmphasized
diabolify	diabolifies	diabolified
diabolize	diabolizes	diabolized
diadem	diadems	diademed
diagnose	diagnoses	diagnosed
diagnosticate	diagnosticates	diagnosticated
diagonalise	diagonalises	diagonalised
diagonalize	diagonalizes	diagonalized
diagram	diagrams	diagramed
dial	dials	dialed
dialog	dialogs	dialoged
dialogize	dialogizes	dialogized
dialogue	dialogues	dialogued
dialyse	dialyses	dialysed
dialyze	dialyzes	dialyzed
diamond	diamonds	diamonded
diamondize	diamondizes	diamondized
diaper	diapers	diapered
diaphragm	diaphragms	diaphragmed
diarise	diarises	diarised
diarize	diarizes	diarized
diazotise	diazotises	diazotised
diazotize	diazotizes	diazotized
dib	dibs	dibbed
dibble	dibbles	dibbled
dibs	dibses	dibsed
dice	dices	diced
dich	diches	diched
dichotomise	dichotomises	dichotomised
dichotomize	dichotomizes	dichotomized
dick	dicks	dicked
dicker	dickers	dickered
dictate	dictates	dictated
dictionary	dictionaries	dictionaried
didder	didders	diddered
diddle	diddles	diddled
die	dies	died
diecast	diecasts	diecast
diesel	diesels	dieseled
dieselise	dieselises	dieselised
dieselize	dieselizes	dieselized
diet	diets	dieted
diff	diffs	diffed
differ	differs	differed
difference	differences	differenced
differentiate	differentiates	differentiated
difficilitate	difficilitates	difficilitated
difficult	difficults	difficulted
difficultate	difficultates	difficultated
diffine	diffines	diffined
diffract	diffracts	diffracted
diffuse	diffuses	diffused
dig	digs	dug
digest	digests	digested
dight	dights	dight
digiscope	digiscopes	digiscoped
digit	digits	digited
digitalise	digitalises	digitalised
digitalize	digitalizes	digitalized
digitate	digitates	digitated
digitise	digitises	digitised
digitize	digitizes	digitized
digladiate	digladiates	digladiated
dignify	dignifies	dignified
dignosce	dignosces	dignosced
digress	digresses	digressed
dijudicate	dijudicates	dijudicated
dike	dikes	diked
dilacerate	dilacerates	dilacerated
dilaniate	dilaniates	dilaniated
dilapidate	dilapidates	dilapidated
dilatate	dilatates	dilatated
dilate	dilates	dilated
dildo	dildoes	dildoed
dill	dills	dilled
dillydally	dillydallies	dillydallied
dilucidate	dilucidate	dilucidated
dilute	dilutes	diluted
diluviate	diluviates	diluviated
dim	dims	dimmed
dime	dimes	dimed
dimension	dimensions	dimensioned
dimensionalise	dimensionalises	dimensionalised
dimensionalize	dimensionalizes	dimensionalized
dimerise	dimerises	dimerised
dimerize	dimerizes	dimerized
dimidiate	dimidiates	dimidiated
diminish	diminishes	diminished
diminutivise	diminutivises	diminutivised
diminutivize	diminutivizes	diminutivized
dimit	dimits	dimitted
dimple	dimples	dimpled
din	dins	dinned
dindle	dindles	dindled
dine	dines	dined
ding	dings	dinged
dinge	dinges	dinged
dinghy	dinghies	dinghied
dink	dinks	dinked
dint	dints	dinted
dip	dips	dipped
diphthongise	diphthongises	diphthongised
diphthongize	diphthongizes	diphthongized
diplomate	diplomates	diplomated
diplomatize	diplomatizes	diplomatized
direct	directs	directed
dirempt	dirempts	dirempted
dirk	dirks	dirked
dirt	dirts	dirted
dirty	dirties	dirtied
dis	disses	dissed
disable	disables	disabled
disabuse	disabuses	disabused
disaccommodate	disaccommodates	disaccommodated
disaccord	disaccords	disaccorded
disaccustom	disaccustoms	disaccustomed
disacidify	disacidifies	disacidified
disacknowledge	disacknowledges	disacknowledged
disacquaint	disacquaints	disacquainted
disadjust	disadjusts	disadjusted
disadorn	disadorns	disadorned
disadvance	disadvances	disadvanced
disadvantage	disadvantages	disadvantaged
disadvise	disadvises	disadvised
disaffect	disaffects	disaffected
disaffiliate	disaffiliates	disaffiliated
disaffirm	disaffirms	disaffirmed
disafforest	disafforests	disafforested
disaggregate	disaggregates	disaggregated
disagree	disagrees	disagreed
disalliege	disallieges	disallieged
disallow	disallows	disallowed
disally	disallies	disallied
disambiguate	disambiguates	disambiguated
disanchor	disanchors	disanchored
disanimate	disanimates	disanimated
disannex	disannexes	disannexed
disannul	disannuls	disannulled
disanoint	disanoints	disanointed
disapparate	disapparates	disapparated
disapparel	disapparels	disapparelled
disappear	disappears	disappeared
disapply	disapplies	disapplied
disappoint	disappoints	disappointed
disappoynt	disappoynts	disappoynted
disappreciate	disappreciates	disappreciated
disappropriate	disappropriates	disappropriated
disapprove	disapproves	disapproved
disarm	disarms	disarmed
disarrange	disarranges	disarranged
disarray	disarrays	disarrayed
disarticulate	disarticulates	disarticulated
disassemble	disassembles	disassembled
disassent	disassents	disassented
disassimilate	disassimilates	disassimilated
disassociate	disassociates	disassociated
disattire	disattires	disattired
disauthorize	disauthorizes	disauthorized
disavail	disavails	disavailed
disavaunce	disavaunces	disavaunced
disavouch	disavouches	disavouched
disavow	disavows	disavowed
disband	disbands	disbanded
disbar	disbars	disbarred
disbark	disbarks	disbarked
disbase	disbases	disbased
disbecome	disbecomes	disbecame
disbelieve	disbelieves	disbelieved
disbench	disbenches	disbenched
disbend	disbends	disbent
disbind	disbinds	disbound
disbound	disbounds	disbounded
disbowel	disbowels	disbowelled
disbranch	disbranches	disbranched
disbud	disbuds	disbudded
disburden	disburdens	disburdened
disburse	disburses	disbursed
disburthen	disburthens	disburthened
discage	discages	discaged
discalceate	discalceates	discalceated
discamp	discamps	discamped
discandy	discandies	discandied
discapacitate	discapacitates	discapacitated
discard	discards	discarded
discase	discases	discased
discede	discedes	disceded
discept	discepts	discepted
discern	discerns	discerned
discerp	discerps	discerped
discharge	discharges	discharged
dischurch	dischurches	dischurched
discide	discides	discided
discind	discinds	discinded
disciple	disciples	discipled
discipline	disciplines	disciplined
disclaim	disclaims	disclaimed
disclame	disclames	disclamed
disclaunder	disclaunders	disclaundered
discloak	discloaks	discloaked
disclose	discloses	disclosed
discloud	disclouds	disclouded
disclout	disclouts	disclouted
disclude	discludes	discluded
disco	discos	discoed
discoast	discoasts	discoasted
discolor	discolors	discolored
discolorate	discolorates	discolorated
discolour	discolours	discoloured
discombobulate	discombobulates	discombobulated
discomfit	discomfits	discomfited
discomfort	discomforts	discomforted
discommend	discommends	discommended
discommission	discommissions	discommissioned
discommodate	discommodates	discommodated
discommode	discommodes	discommoded
discommon	discommons	discommoned
discompany	discompanies	discompanied
discomplexion	discomplexions	discomplexioned
discompose	discomposes	discomposed
discompt	discompts	discompted
disconcert	disconcerts	disconcerted
disconcur	disconcurs	disconcurred
disconfirm	disconfirms	disconfirmed
disconnect	disconnects	disconnected
disconsecrate	disconsecrates	disconsecrated
discontent	discontents	discontented
discontinue	discontinues	discontinued
discord	discords	discorded
discost	discosts	discosted
discounsel	discounsels	discounselled
discount	discounts	discounted
discountenance	discountenances	discountenanced
discourage	discourages	discouraged
discoure	discoures	discoured
discourse	discourses	discoursed
discovenant	discovenants	discovenanted
discover	discovers	discovered
discovre	discovres	discovred
discredit	discredits	discredited
discretise	discretises	discretised
discretize	discretizes	discretized
discriminate	discriminates	discriminated
discrown	discrowns	discrowned
discruciate	discruciates	discruciated
disculpate	disculpates	disculpated
discumber	discumbers	discumbered
discure	discures	discured
discuss	discusses	discussed
disdain	disdains	disdained
disdeify	disdeifies	disdeified
disdeign	disdeigns	disdeigned
disease	diseases	diseased
disedge	disedges	disedged
disedify	disedifies	disedified
disembark	disembarks	disembarked
disembarrass	disembarrasses	disembarrassed
disembellish	disembellishes	disembellished
disembitter	disembitters	disembittered
disembody	disembodies	disembodied
disembogue	disembogues	disembogued
disembosom	disembosoms	disembosomed
disembowel	disembowels	disemboweled
disembrangle	disembrangles	disembrangled
disembroil	disembroils	disembroiled
disemburden	disemburdens	disemburdened
disemploy	disemploys	disemployed
disempower	disempowers	disempowered
disemvowel	disemvowels	disemvowelled
disenable	disenables	disenabled
disenamour	disenamours	disenamoured
disenchant	disenchants	disenchanted
disencharm	disencharms	disencharmed
disencline	disenclines	disenclined
disenclose	disencloses	disenclosed
disencumber	disencumbers	disencumbered
disendorse	disendorses	disendorsed
disendow	disendows	disendowed
disenfranchise	disenfranchises	disenfranchised
disengage	disengages	disengaged
disennoble	disennobles	disennobled
disenrol	disenrols	disenrolled
disenroll	disenrolls	disenrolled
disenslave	disenslaves	disenslaved
disentail	disentails	disentailed
disentangle	disentangles	disentangled
disenter	disenters	disenterred
disenthral	disenthrals	disenthralled
disenthrall	disenthralls	disenthralled
disenthrone	disenthrones	disenthroned
disentitle	disentitles	disentitled
disentomb	disentombs	disentombed
disentrail	disentrails	disentrailed
disentrance	disentrances	disentranced
disentwine	disentwines	disentwined
disenvowel	disenvowels	disenvowelled
disequalize	disequalizes	disequalized
disespouse	disespouses	disespoused
disestablish	disestablishes	disestablished
disesteem	disesteems	disesteemed
disfancy	disfancies	disfancied
disfashion	disfashions	disfashioned
disfavor	disfavors	disfavored
disfavour	disfavours	disfavoured
disfeature	disfeatures	disfeatured
disfellowship	disfellowships	disfellowshipped
disfigure	disfigures	disfigured
disflesh	disfleshes	disfleshed
disforest	disforests	disforested
disfranchise	disfranchises	disfranchised
disfrock	disfrocks	disfrocked
disfurnish	disfurnishes	disfurnished
disfurniture	disfurnitures	disfurnitured
disgage	disgages	disgaged
disgarland	disgarlands	disgarlanded
disgarnish	disgarnishes	disgarnished
disgarrison	disgarrisons	disgarrisoned
disgavel	disgavels	disgavelled
disgest	disgests	disgested
disglorify	disglorifies	disglorified
disgorge	disgorges	disgorged
disgrace	disgraces	disgraced
disgrade	disgrades	disgraded
disgraduate	disgraduates	disgraduated
disgregate	disgregates	disgregated
disgruntle	disgruntles	disgruntled
disguise	disguises	disguised
disgust	disgusts	disgusted
dish	dishes	dished
dishabilitate	dishabilitates	dishabilitated
dishabituate	dishabituates	dishabituated
dishable	dishables	dishabled
dishallow	dishallows	dishallowed
disharmonize	disharmonizes	disharmonized
dishaunt	dishaunts	dishaunted
disheart	dishearts	dishearted
dishearten	disheartens	disheartened
disheir	disheirs	disheired
dishelm	dishelms	dishelmed
disherit	disherits	disherited
dishevel	dishevels	disheveled
dishonnour	dishonnours	dishonnoured
dishonor	dishonors	dishonored
dishonour	dishonours	dishonoured
dishorn	dishorns	dishorned
dishorse	dishorses	dishorsed
dishouse	dishouses	dishoused
dishumor	dishumors	dishumored
dishumour	dishumours	dishumoured
disidentify	disidentifies	disidentified
disillusion	disillusions	disillusioned
disillusionise	disillusionises	disillusionised
disillusionize	disillusionizes	disillusionized
disimbitter	disimbitters	disimbittered
disimpark	disimparks	disimparked
disimprison	disimprisons	disimprisoned
disimprove	disimproves	disimproved
disincarcerate	disincarcerates	disincarcerated
disincarnate	disincarnates	disincarnated
disincentivise	disincentivises	disincentivised
disincentivize	disincentivizes	disincentivized
disincline	disinclines	disinclined
disinclose	disincloses	disinclosed
disincorporate	disincorporates	disincorporated
disinfect	disinfects	disinfected
disinfest	disinfests	disinfested
disinflame	disinflames	disinflamed
disinform	disinforms	disinformed
disinherit	disinherits	disinherited
disinhibit	disinhibits	disinhibited
disinhume	disinhumes	disinhumed
disinsect	disinsects	disinsected
disinsert	disinserts	disinserted
disinsure	disinsures	disinsured
disintegrate	disintegrates	disintegrated
disinter	disinters	disinterred
disinterest	disinterests	disinterested
disintermediate	disintermediates	disintermediated
disinthral	disinthrals	disinthralled
disinthrall	disinthralls	disinthralled
disintricate	disintricates	disintricated
disinure	disinures	disinured
disinvent	disinvents	disinvented
disinvest	disinvests	disinvested
disinvigorate	disinvigorates	disinvigorated
disinvite	disinvites	disinvited
